BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
苡				l		 	ə 	 	ʔ 			B&SOC2015-10-13	
已	 			ɢ		r 	ə 	 	ʔ 			B&SOC2015-10-13	
胣	 			l		 	a	j 	ʔ 			B&SOC2015-10-13	
縊	 			q	ˤ	 	i 	k 		s 		B&SOC2015-10-13	
意		 		ʔ		r 	ə 	k 		s 		B&SOC2015-10-13	
懿	 			ʔ		r 	i 	k 		s 		B&SOC2015-10-13	
㦤	 			q		r 	i 	t 		s 		B&SOC2015-10-13	
饐	 			q		r 	i 	k 		s 		B&SOC2015-10-13	
抑	 			ʔ		r 	i 	k 	 			B&SOC2015-10-13	
抑	 			ʔ		 	i 	k 	 			B&SOC2015-10-13	
億		 		ʔ		r 	ə 	k 	 			B&SOC2015-10-13	
憶		 		ʔ		r 	ə 	k 	 			B&SOC2015-10-13	
臆		 		ʔ		r 	ə 	k 	 			B&SOC2015-10-13	
邑	 			q		r 	ə 	p 	 			B&SOC2015-10-13	
浥	 			q		r 	i 	p 	 			B&SOC2015-10-13	
衣		 		ʔ		r 	ə	j 		s 		B&SOC2015-10-13	
瘞	 			q		r 	e 	p 		s 		B&SOC2015-10-13	
縊	 			q		 	i 	k 		s 		B&SOC2015-10-13	
益	 			q		 	i 	k 	 			B&SOC2015-10-13	
嗌	 			q		 	i 	k 	 			B&SOC2015-10-13	
膉	 			q		 	i 	k 	 			B&SOC2015-10-13	
挹	 			q		 	i 	p 	 			B&SOC2015-10-13	
唈	 			q	ˤ	 	ə 	p 	 			B&SOC2015-10-13	
羿	 			ŋ	ˤ	 	e 	r 		s 		B&SOC2015-10-13	
詣	 			ŋ	ˤ	 	i	j 		s 		B&SOC2015-10-13	
鷁	m- 			ɢ	ˤ	 	e 	k 	 			B&SOC2015-10-13	
劓	 			ŋ		r 	ə 	t 		s 		B&SOC2015-10-13	
豙	 			ŋ		 	ə 	t 		s 		B&SOC2015-10-13	
毅	 			ŋ		 	ə 	t 		s 		B&SOC2015-10-13	
藙	 			ŋ		 	ə 	t 		s 		B&SOC2015-10-13	
仡	 			ŋ		 	ə 	t 	 			B&SOC2015-10-13	
義	 			ŋ		r 	a	j 		s 		B&SOC2015-10-13	
議	 			ŋ		r 	a	j 		s 		B&SOC2015-10-13	
㓷	 			ŋ		r 	a 	t 		s 		B&SOC2015-10-13	
埶	 			ŋ		 	e 	t		s 		B&SOC2015-10-13	
蓺	 			ŋ		 	e 	t		s 		B&SOC2015-10-13	
藝	 			ŋ		 	e 	t		s 		B&SOC2015-10-13	
乂	 			ŋ		 	a 	t 		s 		B&SOC2015-10-13	
刈	 			ŋ		 	a 	t 		s 		B&SOC2015-10-13	
異	 			ɢ		r 	ə 	k 		s 		B&SOC2015-10-13	
异	 			ɢ		r 	ə 	k 		s 		B&SOC2015-10-13	
弋	 			l		 	ə 	k 	 			B&SOC2015-10-13	
翊	 			ɢʷ		r 	ə 	p 	 			B&SOC2015-10-13	
翌	 			ɢʷ		r 	ə 	p 	 			B&SOC2015-10-13	
翼	 			ɢʷ		r 	ə 	p 	 			B&SOC2015-10-13	
溢	N- 			q		r 	i 	k 	 			B&SOC2015-10-13	
佾	N- 			r		 	i 	t 	 			B&SOC2015-10-13	
逸	 			l		 	i 	t 	 			B&SOC2015-10-13	
鎰	 			ɢ		r 	i 	k 	 			B&SOC2015-10-13	
易	 			l		 	e 	k 		s 		B&SOC2015-10-13	
勩	 			l		 	a 	p 		s 		B&SOC2015-10-13	
裔	 			l		 	a 	t 		s 		B&SOC2015-10-13	
亦	 			ɢ		r 	A 	k 	 			B&SOC2015-10-13	
奕	 			ɢ		r 	A 	k 	 			B&SOC2015-10-13	
弈	 			ɢ		r 	A 	k 	 			B&SOC2015-10-13	
譯	 			l		 	A 	k 	 			B&SOC2015-10-13	
驛	 			l		 	A 	k 	 			B&SOC2015-10-13	
易	 			l		 	e 	k 	 			B&SOC2015-10-13	
蜴	 			l		 	e 	k 	 			B&SOC2015-10-13	
役	 			ɢʷ		 	e 	k 	 			B&SOC2015-10-13	
疫	 			ɢʷ		 	e 	k 	 			B&SOC2015-10-13	
音	 			q		r 	ə 	m 	 			B&SOC2015-10-13	
陰	 			q		r 	u 	m 	 			B&SOC2015-10-13	
駰		 		ʔ		r 	i 	n 	 			B&SOC2015-10-13	
殷	 			ʔ		 	ə 	r 	 			B&SOC2015-10-13	
慇	 			ʔ		 	ə 	r 	 			B&SOC2015-10-13	
愔	 			q		 	i 	m 	 			B&SOC2015-10-13	
垔	 			q		 	i 	n 	 			B&SOC2015-10-13	
陻	 			q		 	i 	n 	 			B&SOC2015-10-13	
禋	 			q		 	i 	n 	 			B&SOC2015-10-13	
因	 			ʔ		 	i 	n 	 			B&SOC2015-10-13	
吟	m- 			qʰ		r 	ə 	m 	 			B&SOC2015-10-13	
誾	 			ŋ		r 	ə 	n 	 			B&SOC2015-10-13	
銀	 			ŋ		r 	ə 	n 	 			B&SOC2015-10-13	
垠	 			ŋ		 	ə 	r 	 			B&SOC2015-10-13	
圻	 			ŋ		 	ə 	r 	 			B&SOC2015-10-13	
寅	 			ɢ		r 	ə 	r 	 			B&SOC2015-10-13	
淫	N- 			r		 	ə 	m 	 			B&SOC2015-10-13	
㸒	N- 			r		 	ə 	m 	 			B&SOC2015-10-13	
夤	 			ɢ		r 	ə 	r 	 			B&SOC2015-10-13	
飲	 			q		r 	u 	m 	ʔ 			B&SOC2015-10-13	
隱	 			ʔ		r 	ə 	n 	ʔ 			B&SOC2015-10-13	
蚓	 			ɢ		r 	ə 	r 	ʔ 			B&SOC2015-10-13	
螾	 			ɢ		r 	ə 	r 	ʔ 			B&SOC2015-10-13	
引	 			l		 	i 	n 	ʔ 			B&SOC2015-10-13	
朄	 			l		 	i 	n 	ʔ	s 		B&SOC2015-10-13	
引	 			l		 	i 	n 	ʔ	s 		B&SOC2015-10-13	
尹	m- 			q		 	u 	r 	ʔ 			B&SOC2015-10-13	
蔭	mə-			q		r 	u 	m 		s 		B&SOC2015-10-13	
飲	 			q		r 	ə 	m 	ʔ	s 		B&SOC2015-10-13	
隱		 		ʔ		r 	ə 	r 	ʔ	s 		B&SOC2015-10-13	
印	 			ʔ		 	i 	ŋ 		s 		B&SOC2015-10-13	
胤	 			ɢ		 	ə 	n 		s 		B&SOC2015-10-13	
罌	 			ʔ	ˤ	r 	e 	ŋ 	 			B&SOC2015-10-13	
罃	 			ʔ	ˤ	r 	e 	ŋ 	 			B&SOC2015-10-13	
鷹	 			q		r 	ə 	ŋ 	 			B&SOC2015-10-13	
應	 			q		r 	ə 	ŋ 	 			B&SOC2015-10-13	
膺	 			q		r 	ə 	ŋ 	 			B&SOC2015-10-13	
英		 		ʔ		r 	a 	ŋ 	 			B&SOC2015-10-13	
嬰	 			ʔ		 	e 	ŋ 	 			B&SOC2015-10-13	
纓	 			ʔ		 	e 	ŋ 	 			B&SOC2015-10-13	
熒	N- 			qʷ	ˤ	 	e 	ŋ 	 			B&SOC2015-10-13	
螢	m- 			qʷ	ˤ	 	e 	ŋ 	 			B&SOC2015-10-13	
迎	 			ŋ		r 	a 	ŋ 	 			B&SOC2015-10-13	
蠅	m- 			r		 	ə 	ŋ 	 			B&SOC2015-10-13	
贏	 			ɢ		 	e 	ŋ 	 			B&SOC2015-10-13	
盈	 			l		  	e  	ŋ				B&SOC2015-10-13	
楹	 			l		 	e 	ŋ 	 			B&SOC2015-10-13	
營	 			ɢʷ		 	e 	ŋ 	 			B&SOC2015-10-13	
影	 			q		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
郢	 			l		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
穎	 			ɢʷ		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
迎	 			ŋ		r 	a 	ŋ 		s 		B&SOC2015-10-13	
邕	 			q		r 	o 	ŋ 	 			B&SOC2015-10-13	
癰	 			q		r 	o 	ŋ 	 			B&SOC2015-10-13	
庸	 			l		 	o 	ŋ 	 			B&SOC2015-10-13	
傭	 			l		 	o 	ŋ 	 			B&SOC2015-10-13	
永	 			ɢʷ		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
泳	 			ɢʷ		r 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
咏	 			ɢʷ		r 	a 	ŋ 		s 		B&SOC2015-10-13	
詠	 			ɢʷ		r 	a 	ŋ 		s 		B&SOC2015-10-13	
俑	 			l		 	o 	ŋ 	ʔ 			B&SOC2015-10-13	
勇	 			l		 	o 	ŋ 	ʔ 			B&SOC2015-10-13	
踊	 			l		 	o 	ŋ 	ʔ 			B&SOC2015-10-13	
用	 			l		 	o 	ŋ 		s 		B&SOC2015-10-13	
幽	 			ʔ		r 	i	w 	 			B&SOC2015-10-13	
憂		 		ʔ		r 	u 	 	 			B&SOC2015-10-13	
優		 		ʔ		r 	u 	 	 			B&SOC2015-10-13	
攸	 			l		 	i	w 	 			B&SOC2015-10-13	
悠	 			l		 	i	w 	 			B&SOC2015-10-13	
尤				ɢʷ		 	ə 	 	 			B&SOC2015-10-13	
訧				ɢʷ		 	ə 	 	 			B&SOC2015-10-13	
游	N- 			r		 	u 	 	 			B&SOC2015-10-13	
遊	N- 			r		 	u 	 	 			B&SOC2015-10-13	
斿	N- 			r		 	u 	 	 			B&SOC2015-10-13	
油	 			l		 	u 	 	 			B&SOC2015-10-13	
猶	 			ɢ		r 	u 	 	 			B&SOC2015-10-13	
由	 			l		 	u 	 	 			B&SOC2015-10-13	
友				ɢʷ		 	ə 	 	ʔ 			B&SOC2015-10-13	
有				ɢʷ		 	ə 	 	ʔ 			B&SOC2015-10-13	
酉	N- 			r		 	u 	 	ʔ 			B&SOC2015-10-13	
牖	 			l		 	u 	 	ʔ 			B&SOC2015-10-13	
莠	 			l		 	u 	 	ʔ 			B&SOC2015-10-13	
幼	 			ʔ		r 	i	w 		s 		B&SOC2015-10-13	
右				ɢʷ		 	ə 	 	ʔ 			B&SOC2015-10-13	
祐				ɢʷ		 	ə 	 	ʔ 			B&SOC2015-10-13	
囿	 			ɢʷ		 	ə 	k 		s 		B&SOC2015-10-13	
又				ɢʷ		 	ə 	 	ʔ	s 		B&SOC2015-10-13	
右				ɢʷ		 	ə 	 	ʔ	s 		B&SOC2015-10-13	
佑				ɢʷ		 	ə 	 	ʔ	s 		B&SOC2015-10-13	
祐				ɢʷ		 	ə 	 	ʔ	s 		B&SOC2015-10-13	
囿	 			ɢʷ		 	ə 	k 	 			B&SOC2015-10-13	
誘	 			l		 	u 	 	ʔ 			B&SOC2015-10-13	
迂	 			qʷ		r 	a 	 	 			B&SOC2015-10-13	
紆	 			qʷ		r 	a 	 	 			B&SOC2015-10-13	
迂	 			ɢʷ		r 	a 	 	 			B&SOC2015-10-13	
於	 			ʔ		 	a 	 	 			B&SOC2015-10-13	
歈	 			l	ˤ	 	o 	 	 			B&SOC2015-10-13	
㬰	 			g		r 	u	j 		s 		B&SOC2015-10-13	
盂	 			ɢʷ		r 	a 	 	 			B&SOC2015-10-13	
竽	 			ɢʷ		r 	a 	 	 			B&SOC2015-10-13	
雩	 			ɢʷ		r 	a 	 	 			B&SOC2015-10-13	
于	 			ɢʷ		r 	a 	 	 			B&SOC2015-10-13	
魚	r- 			ŋ		 	a 	 	 			B&SOC2015-10-13	
漁	 			ŋ		r 	a 	 	 			B&SOC2015-10-13	
䱷	 			ŋ		r 	a 	 	 			B&SOC2015-10-13	
鋙	 			ŋ		r 	a 	 	 			B&SOC2015-10-13	
虞	 			ŋʷ		r 	a 	 	 			B&SOC2015-10-13	
隅	 			ŋ		r 	o 	 	 			B&SOC2015-10-13	
娛	 			ŋʷ		r 	a 	 	 			B&SOC2015-10-13	
余	 			l		 	a 	 	 			B&SOC2015-10-13	
餘	 			l		 	a 	 	 			B&SOC2015-10-13	
予	 			l		 	a 	 	ʔ 			B&SOC2015-10-13	
輿	m- 			q		r 	a 	 	 			B&SOC2015-10-13	
舁	m- 			q		r 	a 	 	ʔ 			B&SOC2015-10-13	
臾	 			ɢ		r 	o 	 	 			B&SOC2015-10-13	
諛	 			ɢ		r 	o 	 	 			B&SOC2015-10-13	
俞	 			l		 	o 	 	 			B&SOC2015-10-13	
愉	 			l		 	o 	 	 			B&SOC2015-10-13	
榆	 			l		 	o 	 	 			B&SOC2015-10-13	
渝	 			l		 	o 	 	 			B&SOC2015-10-13	
踰	 			l		 	o 	 	 			B&SOC2015-10-13	
逾	 			l		 	o 	 	 			B&SOC2015-10-13	
蝓	Cə-			l		 	o 	 	 			B&SOC2015-10-13	
傴	 			q		r 	o 	 	ʔ 			B&SOC2015-10-13	
雨	C- 			ɢʷ		r 	a 	 	ʔ 			B&SOC2015-10-13	
宇	 			ɢʷ		r 	a 	 	ʔ 			B&SOC2015-10-13	
羽	 			ɢʷ		r 	a 	 	ʔ 			B&SOC2015-10-13	
禹	 			ɢʷ		r 	a 	 	ʔ 			B&SOC2015-10-13	
圄	m- 			qʰ		r 	a 	 	ʔ 			B&SOC2015-10-13	
圉	m- 			qʰ		r 	a 	 	ʔ 			B&SOC2015-10-13	
語	 			ŋ		r 	a 	 	ʔ 			B&SOC2015-10-13	
鋙	 			ŋ		r 	a 	 	ʔ 			B&SOC2015-10-13	
予	 			l		 	a 	 	ʔ 			B&SOC2015-10-13	
与	m- 			q		r 	a 	 	ʔ 			B&SOC2015-10-13	
與	m- 			q		r 	a 	 	ʔ 			B&SOC2015-10-13	
庾	 			ɢ		r 	o 	 	ʔ 			B&SOC2015-10-13	
鬱	 			q		 	u 	t 	 			B&SOC2015-10-13	
蔚	 			ʔ		 	u 	t 	 			B&SOC2015-10-13	
彧	 			qʷ		 	ə 	k 	 			B&SOC2015-10-13	
郁	 			qʷ		 	ə 	k 	 			B&SOC2015-10-13	
奧		 		ʔ		r 	u 	k 	 			B&SOC2015-10-13	
薁		 		ʔ		r 	u 	k 	 			B&SOC2015-10-13	
芋	 			ɢʷ		r 	a 	 		s 		B&SOC2015-10-13	
雨	 			ɢʷ		r 	a 	 	ʔ	s 		B&SOC2015-10-13	
或	 			ɢʷ		r 	ə 	k 	 			B&SOC2015-10-13	
域	 			ɢʷ		r 	ə 	k 	 			B&SOC2015-10-13	
緎	 			ɢʷ		r 	ə 	k 	 			B&SOC2015-10-13	
汩	 			ɢʷ		r 	ə 	t 	 			B&SOC2015-10-13	
御	m- 			qʰ		r 	a 	 	ʔ 			B&SOC2015-10-13	
禦	m- 			qʰ		r 	a 	 	ʔ 			B&SOC2015-10-13	
御	 			ŋ		r 	a 	 		s 		B&SOC2015-10-13	
馭	 			ŋ		r 	a 	 		s 		B&SOC2015-10-13	
語	 			ŋ		r 	a 	 	ʔ	s 		B&SOC2015-10-13	
玉	 			ŋ		r 	o 	k 	 			B&SOC2015-10-13	
獄	 			ŋ		r 	o 	k 	 			B&SOC2015-10-13	
寓	 			ŋ		r 	o 	 		s 		B&SOC2015-10-13	
遇	 			ŋ		r 	o 	 		s 		B&SOC2015-10-13	
緎	 			qʷʰ		r 	ə 	k 	 			B&SOC2015-10-13	
譽	m- 			q		r 	a 	 	 			B&SOC2015-10-13	
譽	 			ɢ		r 	a 	 		s 		B&SOC2015-10-13	
豫	 			l		 	a 	 	ʔ	s 		B&SOC2015-10-13	
譽	m- 			q		r 	a 	 		s 		B&SOC2015-10-13	
鸒	m- 			q		r 	a 	 		s 		B&SOC2015-10-13	
與	 			ɢ		r 	a 	 	ʔ	s 		B&SOC2015-10-13	
欲	 			ɢ		r 	o 	k 	 			B&SOC2015-10-13	
愈	 			l		 	o 	 	ʔ 			B&SOC2015-10-13	
喻	 			l		 	o 	 		s 		B&SOC2015-10-13	
儥	 			l		 	i	wk 	 			B&SOC2015-10-13	
𧶠	 			l		 	u 	k 	 			B&SOC2015-10-13	
育	m- 			q		 	u 	k 	 			B&SOC2015-10-13	
毓	m- 			q		 	u 	k 	 			B&SOC2015-10-13	
鬻	m- 			q		 	u 	k 	 			B&SOC2015-10-13	
昱	 			ɢʷ		r 	ə 	p 	 			B&SOC2015-10-13	
煜	 			ɢʷ		r 	ə 	p 	 			B&SOC2015-10-13	
繘	N- 			qʷ		 	i 	t 	 			B&SOC2015-10-13	
聿	N- 			r		 	u 	t 	 			B&SOC2015-10-13	
聿	m- 			r		 	u 	t 	 			B&SOC2015-10-13	
遹	 			ɢʷ		 	i 	t 	 			B&SOC2015-10-13	
悁	 			qʷ		 	e 	n 	 			B&SOC2015-10-13	
蜎	 			qʷ		 	e 	n 	ʔ 			B&SOC2015-10-13	
淵	 			ʔʷ	ˤ	 	i 	ŋ 	 			B&SOC2015-10-13	
肙	 			qʷ	ˤ	 	e 	n 	 			B&SOC2015-10-13	
蜎	 			qʷ	ˤ	 	e 	n 	 			B&SOC2015-10-13	
蜎	m-	k- 		qʷ		 	e 	n 	ʔ 			B&SOC2015-10-13	
員	 			ɢʷ		r 	e 	n 	 			B&SOC2015-10-13	
圓	 			ɢʷ		r 	e 	n 	 			B&SOC2015-10-13	
圜	 			ɢʷ		r 	e 	n 	 			B&SOC2015-10-13	
園	C- 			ɢʷ		 	a 	n 	 			B&SOC2015-10-13	
猨	 			ɢʷ		 	a 	n 	 			B&SOC2015-10-13	
援	 			ɢʷ		 	a 	n 	 			B&SOC2015-10-13	
袁	 			ɢʷ		 	a 	n 	 			B&SOC2015-10-13	
轅	 			ɢʷ		 	a 	n 	 			B&SOC2015-10-13	
垣	 			ɢʷ		 	a 	r 	 			B&SOC2015-10-13	
爰	 			ɢʷ		 	a 	n 	 			B&SOC2015-10-13	
原	N- 			ɢʷ		 	a 	r 	 			B&SOC2015-10-13	
源	N- 			ɢʷ		 	a 	r 	 			B&SOC2015-10-13	
元	 			ŋ		 	o 	r 	 			B&SOC2015-10-13	
捐	 			ɢʷ		 	e 	n 	 			B&SOC2015-10-13	
緣	 			l		 	o 	n 	 			B&SOC2015-10-13	
苑	 			ʔ		 	o 	r 	ʔ 			B&SOC2015-10-13	
遠	C- 			ɢʷ		 	a 	n 	ʔ 			B&SOC2015-10-13	
怨	 			ʔ		 	o 	r 		s 		B&SOC2015-10-13	
媛	 			ɢʷ		r 	a 	n 		s 		B&SOC2015-10-13	
院	 			ɢʷ		r 	a 	n 		s 		B&SOC2015-10-13	
𩕾	 			ŋ		 	o 	n 		s 		B&SOC2015-10-13	
願	 			ŋ		 	o 	n 		s 		B&SOC2015-10-13	
約	 			q		r 	e	wk 	 			B&SOC2015-10-13	
葯	 			q	ˤ	r 	e	wk 	 			B&SOC2015-10-13	
曰	 			ɢʷ		 	a 	t 	 			B&SOC2015-10-13	
戉	 			ɢʷ		 	a 	t 	 			B&SOC2015-10-13	
鉞	 			ɢʷ		 	a 	t 	 			B&SOC2015-10-13	
越	 			ɢʷ		 	a 	t 	 			B&SOC2015-10-13	
粵	 			ɢʷ		 	a 	t 	 			B&SOC2015-10-13	
樂	 			ŋ	ˤ	r 	a	wk 	 			B&SOC2015-10-13	
嶽	 			ŋ	ˤ	r 	o 	k 	 			B&SOC2015-10-13	
岳	 			ŋ	ˤ	r 	o 	k 	 			B&SOC2015-10-13	
月	 			ŋʷ		 	a 	t 	 			B&SOC2015-10-13	
刖	 			ŋʷ	ˤ	r 	a 	t 	 			B&SOC2015-10-13	
龠	 			l		 	e	wk 	 			B&SOC2015-10-13	
籥	 			l		 	e	wk 	 			B&SOC2015-10-13	
躍	 			l		 	e	wk 	 			B&SOC2015-10-13	
蜕	 			l		 	o 	t 	 			B&SOC2015-10-13	
悦	 			l		 	o 	t 	 			B&SOC2015-10-13	
閲	 			l		 	o 	t 	 			B&SOC2015-10-13	
説	 			l		 	o 	t 	 			B&SOC2015-10-13	
員	 			ɢʷ		 	ə 	n 	 			B&SOC2015-10-13	
雲	 			ɢʷ		 	ə 	n 	 			B&SOC2015-10-13	
芸	 			ɢʷ		 	ə 	n 	 			B&SOC2015-10-13	
云	 			ɢʷ		 	ə 	r 	 			B&SOC2015-10-13	
筠	 			ɢʷ		r 	i 	n 	 			B&SOC2015-10-13	
匀	N- 			qʷ		 	i 	n 	 			B&SOC2015-10-13	
匀	 			ɢʷ		 	i 	ŋ 	 			B&SOC2015-10-13	
藴	 			ʔ		 	u 	n 	ʔ 			B&SOC2015-10-13	
隕	 			ɢʷ		r 	ə 	n 	ʔ 			B&SOC2015-10-13	
允	 			l		 	u 	r 	ʔ 			B&SOC2015-10-13	
狁	 			l		 	u 	r 	ʔ 			B&SOC2015-10-13	
愠	 			ʔ		 	u 	n 		s 		B&SOC2015-10-13	
藴	 			ʔ		 	u 	n 	ʔ	s 		B&SOC2015-10-13	
運	 			ɢʷ		 	ə 	r 		s 		B&SOC2015-10-13	
韻	m- 			qʷ		r 	i 	n 		s 		B&SOC2015-10-13	
韵	m- 			qʷ		r 	i 	n 		s 		B&SOC2015-10-13	
均	m- 			qʷ		r 	i 	n 		s 		B&SOC2015-10-13	
孕	 			l		 	i 	ŋ 		s 		B&SOC2015-10-13	
帀	 			ts	ˤ	 	ə 	p 	 			B&SOC2015-10-13	
雜	 			dz	ˤ	 	u 	p 	 			B&SOC2015-10-13	
災				ts	ˤ	 	ə 	 	 			B&SOC2015-10-13	
灾				ts	ˤ	 	ə 	 	 			B&SOC2015-10-13	
𢦒				ts	ˤ	 	ə 	 	 			B&SOC2015-10-13	
𢦏				ts	ˤ	 	ə 	 	 			B&SOC2015-10-13	
哉				ts	ˤ	 	ə 	 	 			B&SOC2015-10-13	
栽				ts	ˤ	 	ə 	 	 			B&SOC2015-10-13	
烖				ts	ˤ	 	ə 	 	 			B&SOC2015-10-13	
載				ts	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
宰				ts	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
在				dz	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
載	m-			ts	ˤ	 	ə 	 	ʔ	s 		B&SOC2015-10-13	
再				ts	ˤ	 	ə 	 	ʔ	s 		B&SOC2015-10-13	
簪	Cə-			ts	ˤ	 	ə 	m 	 			B&SOC2015-10-13	
簪	 			ts		r 	ə 	m 	 			B&SOC2015-10-13	
噆	 			ts	ˤ	 	ə 	p 	 			B&SOC2015-10-13	
暫	 			dz	ˤ	 	a 	m 		s 		B&SOC2015-10-13	
贊	 			ts	ˤ	 	a 	r 	ʔ	s 		B&SOC2015-10-13	
臧	 			ts	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
贓	 			ts	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
藏	m- 			tsʰ	ˤ	 	a 	ŋ 		s 		B&SOC2015-10-13	
葬	 			ts	ˤ	 	a 	ŋ 		s 		B&SOC2015-10-13	
糟				ts	ˤ	 	u 	 	 			B&SOC2015-10-13	
遭				ts	ˤ	 	u 	 	 			B&SOC2015-10-13	
鑿				dz	ˤ	 	a	wk 	 			B&SOC2015-10-13	
早	Nə-			ts	ˤ	 	u 	 	ʔ 			B&SOC2015-10-13	
藻				ts	ˤ	 	a	w 	ʔ 			B&SOC2015-10-13	
棗				ts	ˤ	 	u 	 	ʔ 			B&SOC2015-10-13	
澡	mə-			ts	ˤ	 	a	w 	ʔ 			B&SOC2015-10-13	
繰	mə-			ts	ˤ	 	a	w 	ʔ 			B&SOC2015-10-13	
蚤				ts	ˤ	 	u 	 	ʔ 			B&SOC2015-10-13	
皁				dz	ˤ	 	u 	 	ʔ 			B&SOC2015-10-13	
造				dz	ˤ	 	u 	 	ʔ 			B&SOC2015-10-13	
燥	C-			s	ˤ	 	a	w 	ʔ 			B&SOC2015-10-13	
譟	C-			s	ˤ	 	a	w 		s 		B&SOC2015-10-13	
竈	 			ts	ˤ	 	u 	k 		s 		B&SOC2015-10-13	
造	mə-			tsʰ	ˤ	 	u 	 	ʔ	s 		B&SOC2015-10-13	
澤	 			l	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
則	 			ts	ˤ	 	ə 	k 	 			B&SOC2015-10-13	
柞	 			ts	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
責	s- 			t	ˤ	r 	e 	k 	 			B&SOC2015-10-13	
夨	 			ts		r 	ə 	k 	 			B&SOC2015-10-13	
𠨮	 			ts		r 	ə 	k 	 			B&SOC2015-10-13	
仄	 			ts		r 	ə 	k 	 			B&SOC2015-10-13	
𣅔	 			ts		r 	ə 	k 	 			B&SOC2015-10-13	
昃	 			ts		r 	ə 	k 	 			B&SOC2015-10-13	
𣅛	 			ts		r 	ə 	k 	 			B&SOC2015-10-13	
賊	k- 			dz	ˤ	 	ə 	k 	 			B&SOC2015-10-13	
譖	 			ts		r 	ə 	m 		s 		B&SOC2015-10-13	
繒	 			dz		 	ə 	ŋ 	 			B&SOC2015-10-13	
曾	 			ts	ˤ	 	ə 	ŋ 	 			B&SOC2015-10-13	
憎	 			ts	ˤ	 	ə 	ŋ 	 			B&SOC2015-10-13	
增	s- 			t	ˤ	 	ə 	ŋ 	 			B&SOC2015-10-13	
贈	 			dz	ˤ	 	ə 	ŋ 		s 		B&SOC2015-10-13	
甑	S- 			t		 	ə 	ŋ 		s 		B&SOC2015-10-13	
柤	 			ts	ˤ	r 	a 	 	 			B&SOC2015-10-13	
札	s- 			q	ˤ	r 	ə 	t 	 			B&SOC2015-10-13	
眨	mə-			ts	ˤ	r 	a 	p 	 			B&SOC2015-10-13	
乍	 			dz	ˤ	r 	a 	k 		s 		B&SOC2015-10-13	
詐	 			ts	ˤ	r 	a 	k 		s 		B&SOC2015-10-13	
摘	 			t	ˤ	r 	e 	k 	 			B&SOC2015-10-13	
齋	 			ts	ˤ	r 	ə	j 	 			B&SOC2015-10-13	
宅	m- 			t	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
廌	 			d	ˤ	r 	e 	 	ʔ 			B&SOC2015-10-13	
債	s- 			t	ˤ	r 	e 	k 		s 		B&SOC2015-10-13	
責	s- 			t	ˤ	r 	e 	k 		s 		B&SOC2015-10-13	
祭	 			ts	ˤ	r 	e 	t 		s 		B&SOC2015-10-13	
瘵	 			ts	ˤ	r 	e 	t 		s 		B&SOC2015-10-13	
飦	C- 			q	ˤ	 	a 	n 	 			B&SOC2015-10-13	
沾	 			t		r 	e 	m 	 			B&SOC2015-10-13	
鱣	 			t		r 	a 	n 	 			B&SOC2015-10-13	
厃	t- 			q		 	a 	m 	 			B&SOC2015-10-13	
瞻	t- 			q		 	a 	m 	 			B&SOC2015-10-13	
詹	 			t		 	a 	m 	 			B&SOC2015-10-13	
噡	 			t		 	a 	m 	 			B&SOC2015-10-13	
占	 			t		 	e 	m 	 			B&SOC2015-10-13	
饘	t- 			q		 	a 	n 	 			B&SOC2015-10-13	
氈	 			t		 	a 	n 	 			B&SOC2015-10-13	
鸇	 			t		 	a 	n 	 			B&SOC2015-10-13	
饘	t- 			q		 	a 	n 	ʔ 			B&SOC2015-10-13	
輾	 			t		r 	e 	n 	ʔ 			B&SOC2015-10-13	
搌	 			t		r 	e 	n 	ʔ 			B&SOC2015-10-13	
展	 			t		r 	e 	n 	ʔ 			B&SOC2015-10-13	
展	 			t		r 	a 	n 		s 		B&SOC2015-10-13	
斬	 			ts		r 	a 	m 	ʔ 			B&SOC2015-10-13	
盞	 			ts		r 	a 	r 	ʔ 			B&SOC2015-10-13	
棧	 			dz	ˤ	r 	a 	n 	ʔ 			B&SOC2015-10-13	
棧	 			dz	ˤ	r 	a 	n 		s 		B&SOC2015-10-13	
棧	 			dz		r 	a 	n 	ʔ 			B&SOC2015-10-13	
轏	 			dz		r 	a 	n 	ʔ 			B&SOC2015-10-13	
襢	 			t		r 	a 	n 	ʔ 			B&SOC2015-10-13	
襢	 			t		r 	a 	n 	ʔ	s 		B&SOC2015-10-13	
