BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
裁				dz	ˤ	 	ə 	 	 			B&SOC2015-10-13	
采	s-			r	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
彩	s-			r	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
採	s-			r	ˤ	 	ə 	 	ʔ 			B&SOC2015-10-13	
蔡	s-		◦	r		 	a 	t 		s 		B&SOC2015-10-13	
菜	s-		◦	r	ˤ	 	ə 	 	ʔ	s 		B&SOC2015-10-13	
參				r	ˤ		ə		ʔ			B&SOC2015-10-13	
驂	m-			s	ˤ	r 	u 	m 	 			B&SOC2015-10-13	
慚	 			dz	ˤ	 	a 	m 	 			B&SOC2015-10-13	
慙	 			dz	ˤ	 	a 	m 	 			B&SOC2015-10-13	
殘	 			dz	ˤ	 	a 	n 	 			B&SOC2015-10-13	
蠶	C- 			dz	ˤ	 	ə 	m 	 			B&SOC2015-10-13	
粲	 			tsʰ	ˤ	 	a 	r 		s 		B&SOC2015-10-13	
倉	s-			r	ˤ	 	a 	ŋ 				B&SOC2015-10-13	
凔	 			tsʰ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
蒼	 			tsʰ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
倉	 			tsʰ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
藏	m- 			tsʰ	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
操				tsʰ	ˤ	 	a	w 	ʔ 			B&SOC2015-10-13	
操				tsʰ	ˤ	 	a	w 	ʔ	s 		B&SOC2015-10-13	
曹	N-			ts	ˤ	 	u 	 	 			B&SOC2015-10-13	
草				tsʰ	ˤ	 	u 	 	ʔ 			B&SOC2015-10-13	
册	 			tsʰ	ˤ	r 	e 	k 	 			B&SOC2015-10-13	
策	 			tsʰ	ˤ	r 	e 	k 	 			B&SOC2015-10-13	
栅	 			tsʰ	ˤ	r 	e 	k 	 			B&SOC2015-10-13	
廁	 			tsʰ		r 	ə 	k 		s 		B&SOC2015-10-13	
畟	Nə-			tsʰ		r 	ə 	k 	 			B&SOC2015-10-13	
測	 			tsʰ		r 	ə 	k 	 			B&SOC2015-10-13	
側	 			ts		r 	ə 	k 	 			B&SOC2015-10-13	
參	 			tsʰ		r 	u 	m 	 			B&SOC2015-10-13	
層	N-	s- 		t	ˤ	 	ə 	ŋ 	 			B&SOC2015-10-13	
曾	 			dz	ˤ	 	ə 	ŋ 	 			B&SOC2015-10-13	
層	m-	s- 		t	ˤ	 	ə 	ŋ 	 			B&SOC2015-10-13	
差	 			tsʰ		r 	a	j 	 			B&SOC2015-10-13	
臿	 			tsʰ		r 	o 	p 	 			B&SOC2015-10-13	
插	mə-			tsʰ		r 	o 	p 	 			B&SOC2015-10-13	
扱	s- 			qʰ		r 	ə 	p 	 			B&SOC2015-10-13	
秅	 			d	ˤ	r 	a 	 	 			B&SOC2015-10-13	
荼	 			l	ˤ	r 	a 	 	 			B&SOC2015-10-13	
槎	 			dz	ˤ	r 	a	j 	 			B&SOC2015-10-13	
槎	 			dz	ˤ	r 	a	j 	ʔ 			B&SOC2015-10-13	
察	 			tsʰ	ˤ	r 	e 	t 	 			B&SOC2015-10-13	
詫	 			tʰ	ˤ	r 	a 	k 		s 		B&SOC2015-10-13	
拆	 			qʰ	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
差	 			tsʰ		r 	a	j 	 			B&SOC2015-10-13	
差	 			tsʰ	ˤ	r 	a	j 	 			B&SOC2015-10-13	
祡	C- 			dz	ˤ	r 	e	j 	 			B&SOC2015-10-13	
儕	 			dz	ˤ	r 	ə	j 	 			B&SOC2015-10-13	
豺	 			dz	ˤ	r 	ə 	 	 			B&SOC2015-10-13	
蠆	mə-			r	ˤ	 	a 	t 		s 		B&SOC2015-10-13	
幨	 			tʰ		 	a 	m 	 			B&SOC2015-10-13	
襜	 			tʰ		 	a 	m 	 			B&SOC2015-10-13	
廛	 			d		r 	a 	n 	 			B&SOC2015-10-13	
躔	 			d		r 	a 	n 	 			B&SOC2015-10-13	
纏	 			d		r 	a 	n 	 			B&SOC2015-10-13	
孱	 			dz		r 	a 	n 	 			B&SOC2015-10-13	
蟬	 			d		 	a 	r 	 			B&SOC2015-10-13	
單	  			d		  	a  	r				B&SOC2015-10-13	
產	s- 			ŋ		r 	a 	r 	ʔ 			B&SOC2015-10-13	
諂	 			qʰ		r 	o 	m 	ʔ 			B&SOC2015-10-13	
讇	 			qʰ		r 	o 	m 	ʔ 			B&SOC2015-10-13	
幨	 			tʰ		 	a 	m 		s 		B&SOC2015-10-13	
