zi,Preinitial1,Preinitial 2,Initial,Medial,Nucleus,Final,Postcoda *-ʔ,Postcoda *-s,,Source,,
慙, ,,dzˤ, ,a ,m , ,,,B&SOC2015-10-13,,
殘, ,,dzˤ, ,a ,n , ,,,B&SOC2015-10-13,,
蠶,C- ,,dzˤ, ,ə ,m , ,,,B&SOC2015-10-13,,
粲, ,,tsʰˤ, ,a ,r ,,s ,,B&SOC2015-10-13,,
倉,s-,,rˤ, ,a ,ŋ ,,,,B&SOC2015-10-13,,
凔, ,,tsʰˤ, ,a ,ŋ , ,,,B&SOC2015-10-13,,
蒼, ,,tsʰˤ, ,a ,ŋ , ,,,B&SOC2015-10-13,,
倉, ,,tsʰˤ, ,a ,ŋ , ,,,B&SOC2015-10-13,,
藏,m- ,,tsʰˤ, ,a ,ŋ , ,,,B&SOC2015-10-13,,
操,,,tsʰˤ, ,a,w ,ʔ ,,,B&SOC2015-10-13,,
操,,,tsʰˤ, ,a,w ,ʔ,s ,,B&SOC2015-10-13,,
曹,N-,,tsˤ, ,u , , ,,,B&SOC2015-10-13,,
草,,,tsʰˤ, ,u , ,ʔ ,,,B&SOC2015-10-13,,
草,,,tsʰˤ, ,u , ,ʔ ,,,B&SOC2015-10-13,,
册, ,,tsʰˤ,r ,e ,k , ,,,B&SOC2015-10-13,,
策, ,,tsʰˤ,r ,e ,k , ,,,B&SOC2015-10-13,,
栅, ,,tsʰˤ,r ,e ,k , ,,,B&SOC2015-10-13,,
廁, ,,tsʰ,r ,ə ,k ,,s ,,B&SOC2015-10-13,,
畟,Nə- ,,tsʰ,r ,ə ,k , ,,,B&SOC2015-10-13,,
測, ,,tsʰ,r ,ə ,k , ,,,B&SOC2015-10-13,,
側, ,,ts,r ,ə ,k , ,,,B&SOC2015-10-13,,
參, ,,tsʰ,r ,u ,m , ,,,B&SOC2015-10-13,,
層,N-,s- ,tˤ, ,ə ,ŋ , ,,,B&SOC2015-10-13,,
曾, ,,dzˤ, ,ə ,ŋ , ,,,B&SOC2015-10-13,,
層,m-,s- ,tˤ, ,ə ,ŋ , ,,,B&SOC2015-10-13,,
差, ,,tsʰ,r ,a,j , ,,,B&SOC2015-10-13,,
臿, ,,tsʰ,r ,o ,p , ,,,B&SOC2015-10-13,,
插,mə- ,,tsʰ,r ,o ,p , ,,,B&SOC2015-10-13,,
扱,s- ,,qʰ,r ,ə ,p , ,,,B&SOC2015-10-13,,
秅, ,,dˤ,r ,a , , ,,,B&SOC2015-10-13,,
荼, ,,lˤ,r ,a , , ,,,B&SOC2015-10-13,,
槎, ,,dzˤ,r ,a,j , ,,,B&SOC2015-10-13,,
槎, ,,dzˤ,r ,a,j ,ʔ ,,,B&SOC2015-10-13,,
察, ,,tsʰˤ,r ,e ,t , ,,,B&SOC2015-10-13,,
詫, ,,tʰˤ,r ,a ,k ,,s ,,B&SOC2015-10-13,,
拆, ,,qʰˤ,r ,a ,k , ,,,B&SOC2015-10-13,,
差, ,,tsʰ,r ,a,j , ,,,B&SOC2015-10-13,,
差, ,,tsʰˤ,r ,a,j , ,,,B&SOC2015-10-13,,
祡,C- ,,dzˤ,r ,e,j , ,,,B&SOC2015-10-13,,
儕, ,,dzˤ,r ,ə,j , ,,,B&SOC2015-10-13,,
豺, ,,dzˤ,r ,ə , , ,,,B&SOC2015-10-13,,
蠆,mə-,,rˤ, ,a ,t ,,s ,,B&SOC2015-10-13,,
幨, ,,tʰ, ,a ,m , ,,,B&SOC2015-10-13,,
襜, ,,tʰ, ,a ,m , ,,,B&SOC2015-10-13,,
廛, ,,d,r ,a ,n , ,,,B&SOC2015-10-13,,
躔, ,,d,r ,a ,n , ,,,B&SOC2015-10-13,,
纏, ,,d,r ,a ,n , ,,,B&SOC2015-10-13,,
孱, ,,dz,r ,a ,n , ,,,B&SOC2015-10-13,,
蟬, ,,d, ,a ,r , ,,,B&SOC2015-10-13,,
單,  ,,d,  ,a  ,r,,,,B&SOC2015-10-13,,
產,s- ,,ŋ,r ,a ,r ,ʔ ,,,B&SOC2015-10-13,,
諂, ,,qʰ,r ,o ,m ,ʔ ,,,B&SOC2015-10-13,,
讇, ,,qʰ,r ,o ,m ,ʔ ,,,B&SOC2015-10-13,,
幨, ,,tʰ, ,a ,m ,,s ,,B&SOC2015-10-13,,
長,Cə-,N- ,t,r ,a ,ŋ , ,,,B&SOC2015-10-13,,
場, ,,l,r ,a ,ŋ , ,,,B&SOC2015-10-13,,
腸, ,,l,r ,a ,ŋ , ,,,B&SOC2015-10-13,,
嘗,Cə- ,,d, ,a ,ŋ , ,,,B&SOC2015-10-13,,
常, ,,d, ,a ,ŋ , ,,,B&SOC2015-10-13,,
裳, ,,d, ,a ,ŋ , ,,,B&SOC2015-10-13,,
惝, ,,tʰ, ,a ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
敞, ,,tʰ, ,a ,ŋ ,ʔ ,,,B&SOC2015-10-13,,
鬯, ,,tʰ,r ,a ,ŋ ,,s ,,B&SOC2015-10-13,,
悵, ,,tʰ,r ,a ,ŋ ,,s ,,B&SOC2015-10-13,,
倡,mə- ,,tʰ, ,a ,ŋ ,,s ,,B&SOC2015-10-13,,
唱,mə- ,,tʰ, ,a ,ŋ ,,s ,,B&SOC2015-10-13,,
超, ,,tʰ,r ,a,w , ,,,B&SOC2015-10-13,,
潮,N- ,,t,r ,a,w , ,,,B&SOC2015-10-13,,
朝,m- ,,t,r ,a,w , ,,,B&SOC2015-10-13,,
巢, ,,dzˤ,r ,a,w , ,,,B&SOC2015-10-13,,
炒, ,,tsʰˤ,r ,e,w ,ʔ ,,,B&SOC2015-10-13,,
車,t- ,,qʰ,r ,A , , ,,,B&SOC2015-10-13,,
澈, ,,d,r ,e ,t , ,,,B&SOC2015-10-13,,
徹,m- ,,tʰ,r ,e ,t , ,,,B&SOC2015-10-13,,
撤,m- ,,tʰ,r ,e ,t , ,,,B&SOC2015-10-13,,
徹,m- ,,tʰ,r ,e ,t , ,,,B&SOC2015-10-13,,
坼,Nə- ,,qʰˤ,r ,a ,k , ,,,B&SOC2015-10-13,,
撤, ,,tʰ,r ,e ,t , ,,,B&SOC2015-10-13,,
徹, ,,tʰ,r ,e ,t , ,,,B&SOC2015-10-13,,
徹, ,,tʰ,r ,e ,t , ,,,B&SOC2015-10-13,,
瞋, ,,tʰ, ,i ,n , ,,,B&SOC2015-10-13,,
沈,C- ,,d,r ,ə ,m , ,,,B&SOC2015-10-13,,
沈, ,,d,r ,ə ,m , ,,,B&SOC2015-10-13,,
沈, ,,d,r ,ə ,m , ,,,B&SOC2015-10-13,,
沈, ,,d,r ,ə ,m ,,s ,,B&SOC2015-10-13,,
塵, ,,d,r ,ə ,n , ,,,B&SOC2015-10-13,,
陳, ,,l,r ,i ,n , ,,,B&SOC2015-10-13,,
煁, ,,d, ,ə ,m , ,,,B&SOC2015-10-13,,
忱,t- ,,ɢ, ,u ,m , ,,,B&SOC2015-10-13,,
諶,t- ,,ɢ, ,u ,m , ,,,B&SOC2015-10-13,,
辰, ,,d, ,ə ,r , ,,,B&SOC2015-10-13,,
